Item #,Warehouse,Category,Manufacturer,Model,Grade,Capacity,Carrier,Color,Lock Status,Model Number,Parts Message,Increment Size,Quantity Available,List Price,Transaction Status,Transaction Quantity,Transaction Price,Expires,New Offer Quantity,New Offer Price
27889RC2,New York,PHONES,Apple,iPhone 11,RC2-Stock,64GB,GSM Unlocked,Black,GSM Unlocked,A2111,,1,2,165,,,,,,
30513,New York,PHONES,Apple,iPhone 11,B1-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2111,,1,26,200,,,,,,
30524,New York,PHONES,Apple,iPhone 11,B1-Stock,128GB,GSM Unlocked,White,GSM Unlocked,A2111,,1,22,200,,,,,,
28058,New York,PHONES,Apple,iPhone 11 Pro,A1-Stock,64GB,GSM Unlocked,Grey,GSM Unlocked,A2160,,1,4,255,,,,,,
27973,New York,PHONES,Apple,iPhone 11 Pro,A1-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2160,,1,2,255,,,,,,
27974,New York,PHONES,Apple,iPhone 11 Pro,A2-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2160,,1,10,245,,,,,,
27646,New York,PHONES,Apple,iPhone 11 Pro,A2-Stock,64GB,GSM Unlocked,Grey,GSM Unlocked,A2160,,1,27,245,,,,,,
30635,New York,PHONES,Apple,iPhone 11 Pro,B1-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2160,,1,24,230,,,,,,
30640,New York,PHONES,Apple,iPhone 11 Pro,B1-Stock,64GB,GSM Unlocked,Grey,GSM Unlocked,A2160,,1,90,230,,,,,,
27860,New York,PHONES,Apple,iPhone 11 Pro,B2-Stock,64GB,GSM Unlocked,Grey,GSM Unlocked,A2160,,1,48,205,,,,,,
27861,New York,PHONES,Apple,iPhone 11 Pro,B2-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2160,,1,6,205,,,,,,
60210GR,New York,PHONES,Apple,iPhone 11 Pro,PGL,64GB,GSM Unlocked,Green,GSM Unlocked,A2160,,1,2,170,,,,,,
60210GY,New York,PHONES,Apple,iPhone 11 Pro,PGL,64GB,GSM Unlocked,Grey,GSM Unlocked,A2160,,1,5,170,,,,,,
