Item #,Warehouse,Category,Manufacturer,Model,Grade,Capacity,Carrier,Color,Lock Status,Model Number,Parts Message,Increment Size,Quantity Available,List Price,Transaction Status,Transaction Quantity,Transaction Price,Expires,New Offer Quantity,New Offer Price
31419RC2,New York,PHONES,Apple,iPhone 13,RC2-Stock,256GB,GSM Unlocked,Black,GSM Unlocked,A2482,,1,17,305,,,,,,
31431RC2,New York,PHONES,Apple,iPhone 13,RC2-Stock,256GB,GSM Unlocked,Green,GSM Unlocked,A2482,,1,1,305,,,,,,
31425RC2,New York,PHONES,Apple,iPhone 13,RC2-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,5,305,,,,,,
44979RC2,New York,PHONES,Apple,iPhone 13,RC2-Stock,256GB,Verizon,Black,Locked,A2482,,1,1,240,,,,,,
31464,New York,PHONES,Apple,iPhone 13,KFLB,512GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,1,280,,,,,,
31510,New York,PHONES,Apple,iPhone 13 Mini,B2-Stock,128GB,GSM Unlocked,Green,GSM Unlocked,A2481,,1,1,225,,,,,,
31628,New York,PHONES,Apple,iPhone 13 Pro,A2-Stock,128GB,GSM Unlocked,Silver,GSM Unlocked,A2483,,1,5,415,,,,,,
32000,New York,PHONES,Apple,iPhone 13 Pro,KFLB,128GB,GSM Unlocked,Gold,GSM Unlocked,A2483,,1,1,315,,,,,,
38163,New York,PHONES,Apple,iPhone 13 Pro,PLCD,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2483,,1,2,250,,,,,,
31661,New York,PHONES,Apple,iPhone 13 Pro,A1-Stock,256GB,GSM Unlocked,Silver,GSM Unlocked,A2483,,1,2,455,,,,,,
31662,New York,PHONES,Apple,iPhone 13 Pro,A2-Stock,256GB,GSM Unlocked,Silver,GSM Unlocked,A2483,,1,11,445,,,,,,
31637,New York,PHONES,Apple,iPhone 13 Pro,B1-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2483,,1,39,425,,,,,,
31644,New York,PHONES,Apple,iPhone 13 Pro,B1-Stock,256GB,GSM Unlocked,Gold,GSM Unlocked,A2483,,1,2,425,,,,,,
31658,New York,PHONES,Apple,iPhone 13 Pro,B2-Stock,256GB,GSM Unlocked,Green,GSM Unlocked,A2483,,1,4,405,,,,,,
31638,New York,PHONES,Apple,iPhone 13 Pro,B2-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2483,,1,5,405,,,,,,
31664UP,New York,PHONES,Apple,iPhone 13 Pro,B2-Stock,256GB,GSM Unlocked,Silver,GSM Unlocked,A2483,Unknown Part Message,1,1,355,,,,,,
31659,New York,PHONES,Apple,iPhone 13 Pro,C1-Stock,256GB,GSM Unlocked,Green,GSM Unlocked,A2483,,1,1,355,,,,,,
45705,New York,PHONES,Apple,iPhone 13 Pro,KFCG,256GB,AT&T,Gold,Locked,A2483,,1,1,295,,,,,,
32386,New York,PHONES,Apple,iPhone 13 Pro,KFLB,256GB,GSM Unlocked,Silver,GSM Unlocked,A2483,,1,1,345,,,,,,
31641,New York,PHONES,Apple,iPhone 13 Pro,KFLB,256GB,GSM Unlocked,Blue,GSM Unlocked,A2483,,1,3,345,,,,,,
33733,New York,PHONES,Apple,iPhone 13 Pro,KFLB,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2483,,1,3,345,,,,,,
60482GR,New York,PHONES,Apple,iPhone 13 Pro,PGL,256GB,GSM Unlocked,Green,GSM Unlocked,A2483,,1,1,325,,,,,,
60482BL,New York,PHONES,Apple,iPhone 13 Pro,PGL,256GB,GSM Unlocked,Blue,GSM Unlocked,A2483,,1,2,325,,,,,,
31654,New York,PHONES,Apple,iPhone 13 Pro,PID,256GB,GSM Unlocked,Mixed,GSM Unlocked,A2483,,1,2,300,,,,,,
65574,New York,PHONES,Apple,iPhone 13 Pro,PLB,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2483,,1,2,315,,,,,,
38164,New York,PHONES,Apple,iPhone 13 Pro,PLCD,256GB,GSM Unlocked,Mixed,GSM Unlocked,A2483,,1,6,290,,,,,,
31663RC1,New York,PHONES,Apple,iPhone 13 Pro,RC1-Stock,256GB,GSM Unlocked,Silver,GSM Unlocked,A2483,,1,2,420,,,,,,
31637RC1,New York,PHONES,Apple,iPhone 13 Pro,RC1-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2483,,1,1,420,,,,,,
31650RC1,New York,PHONES,Apple,iPhone 13 Pro,RC1-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2483,,1,1,420,,,,,,
31638RC2,New York,PHONES,Apple,iPhone 13 Pro,RC2-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2483,,1,1,400,,,,,,
31664RC2,New York,PHONES,Apple,iPhone 13 Pro,RC2-Stock,256GB,GSM Unlocked,Silver,GSM Unlocked,A2483,,1,2,400,,,,,,
31748,New York,PHONES,Apple,iPhone 13 Pro Max,A2-Stock,128GB,GSM Unlocked,Silver,GSM Unlocked,A2484,,1,2,480,,,,,,
31740,New York,PHONES,Apple,iPhone 13 Pro Max,A2-Stock,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,5,480,,,,,,
31726,New York,PHONES,Apple,iPhone 13 Pro Max,A2-Stock,128GB,GSM Unlocked,Gold,GSM Unlocked,A2484,,1,1,480,,,,,,
31734,New York,PHONES,Apple,iPhone 13 Pro Max,B1-Stock,128GB,GSM Unlocked,Green,GSM Unlocked,A2484,,1,6,460,,,,,,
31741,New York,PHONES,Apple,iPhone 13 Pro Max,B1-Stock,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,18,460,,,,,,
31742,New York,PHONES,Apple,iPhone 13 Pro Max,B2-Stock,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,40,435,,,,,,
31721,New York,PHONES,Apple,iPhone 13 Pro Max,B2-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2484,,1,1,435,,,,,,
31735,New York,PHONES,Apple,iPhone 13 Pro Max,B2-Stock,128GB,GSM Unlocked,Green,GSM Unlocked,A2484,,1,27,435,,,,,,
31728,New York,PHONES,Apple,iPhone 13 Pro Max,B2-Stock,128GB,GSM Unlocked,Gold,GSM Unlocked,A2484,,1,6,435,,,,,,
31742UP,New York,PHONES,Apple,iPhone 13 Pro Max,B2-Stock,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,Unknown Part Message,1,1,385,,,,,,
31736,New York,PHONES,Apple,iPhone 13 Pro Max,C1-Stock,128GB,GSM Unlocked,Green,GSM Unlocked,A2484,,1,4,385,,,,,,
31737,New York,PHONES,Apple,iPhone 13 Pro Max,KFCG,128GB,GSM Unlocked,Green,GSM Unlocked,A2484,,1,1,370,,,,,,
34243,New York,PHONES,Apple,iPhone 13 Pro Max,KFLB,128GB,GSM Unlocked,Silver,GSM Unlocked,A2484,,1,5,370,,,,,,
31745,New York,PHONES,Apple,iPhone 13 Pro Max,KFLB,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,14,370,,,,,,
31738,New York,PHONES,Apple,iPhone 13 Pro Max,KFLB,128GB,GSM Unlocked,Green,GSM Unlocked,A2484,,1,3,370,,,,,,
65196UP,New York,PHONES,Apple,iPhone 13 Pro Max,PCG,128GB,GSM Unlocked,Silver,GSM Unlocked,A2484,Unknown Part Message,1,1,285,,,,,,
65188UP,New York,PHONES,Apple,iPhone 13 Pro Max,PCG,128GB,GSM Unlocked,Gold,GSM Unlocked,A2484,Unknown Part Message,1,2,285,,,,,,
64995UP,New York,PHONES,Apple,iPhone 13 Pro Max,PCG,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,Unknown Part Message,1,1,285,,,,,,
60529G,New York,PHONES,Apple,iPhone 13 Pro Max,PGL,128GB,AT&T,Graphite,Locked,A2484,,1,1,295,,,,,,
60524G,New York,PHONES,Apple,iPhone 13 Pro Max,PGL,128GB,T-Mobile,Graphite,Locked,A2484,,1,1,295,,,,,,
60474GDUP,New York,PHONES,Apple,iPhone 13 Pro Max,PGL,128GB,GSM Unlocked,Gold,GSM Unlocked,A2484,Unknown Part Message,1,5,295,,,,,,
60474GRUP,New York,PHONES,Apple,iPhone 13 Pro Max,PGL,128GB,GSM Unlocked,Green,GSM Unlocked,A2484,Unknown Part Message,1,3,295,,,,,,
60474GUP,New York,PHONES,Apple,iPhone 13 Pro Max,PGL,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,Unknown Part Message,1,1,295,,,,,,
60474BLUP,New York,PHONES,Apple,iPhone 13 Pro Max,PGL,128GB,GSM Unlocked,Blue,GSM Unlocked,A2484,Unknown Part Message,1,1,295,,,,,,
60474SUP,New York,PHONES,Apple,iPhone 13 Pro Max,PGL,128GB,GSM Unlocked,Silver,GSM Unlocked,A2484,Unknown Part Message,1,1,295,,,,,,
31746,New York,PHONES,Apple,iPhone 13 Pro Max,PID,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2484,,1,1,325,,,,,,
31746UP,New York,PHONES,Apple,iPhone 13 Pro Max,PID,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2484,Unknown Part Message,1,3,275,,,,,,
34389,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,128GB,GSM Unlocked,Gold,GSM Unlocked,A2484,,1,2,335,,,,,,
65187,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,1,335,,,,,,
65564,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,128GB,GSM Unlocked,Green,GSM Unlocked,A2484,,1,1,335,,,,,,
34389UP,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,128GB,GSM Unlocked,Gold,GSM Unlocked,A2484,Unknown Part Message,1,1,285,,,,,,
65409UP,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,128GB,GSM Unlocked,Silver,GSM Unlocked,A2484,Unknown Part Message,1,2,285,,,,,,
65334UP,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,128GB,GSM Unlocked,Blue,GSM Unlocked,A2484,Unknown Part Message,1,1,285,,,,,,
65187UP,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,Unknown Part Message,1,1,285,,,,,,
38170,New York,PHONES,Apple,iPhone 13 Pro Max,PLCD,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2484,,1,1,295,,,,,,
31749RC1,New York,PHONES,Apple,iPhone 13 Pro Max,RC1-Stock,128GB,GSM Unlocked,Silver,GSM Unlocked,A2484,,1,1,455,,,,,,
31741RC1,New York,PHONES,Apple,iPhone 13 Pro Max,RC1-Stock,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,3,455,,,,,,
31727RC1,New York,PHONES,Apple,iPhone 13 Pro Max,RC1-Stock,128GB,GSM Unlocked,Gold,GSM Unlocked,A2484,,1,4,455,,,,,,
31750RC2,New York,PHONES,Apple,iPhone 13 Pro Max,RC2-Stock,128GB,GSM Unlocked,Silver,GSM Unlocked,A2484,,1,1,430,,,,,,
31735RC2,New York,PHONES,Apple,iPhone 13 Pro Max,RC2-Stock,128GB,GSM Unlocked,Green,GSM Unlocked,A2484,,1,5,430,,,,,,
31728RC2,New York,PHONES,Apple,iPhone 13 Pro Max,RC2-Stock,128GB,GSM Unlocked,Gold,GSM Unlocked,A2484,,1,1,430,,,,,,
31777,New York,PHONES,Apple,iPhone 13 Pro Max,B1-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,3,510,,,,,,
39223,New York,PHONES,Apple,iPhone 13 Pro Max,KFCG,256GB,AT&T,Graphite,Locked,A2484,,1,1,345,,,,,,
32384,New York,PHONES,Apple,iPhone 13 Pro Max,KFLB,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,3,415,,,,,,
60631GD,New York,PHONES,Apple,iPhone 13 Pro Max,PGL,256GB,AT&T,Gold,Locked,A2484,,1,1,320,,,,,,
65332,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,1,370,,,,,,
66438UP,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,256GB,AT&T,Blue,Locked,A2484,Unknown Part Message,1,1,270,,,,,,
31777RC1,Battery Guarantee,PHONES,Apple,iPhone 13 Pro Max,RC1-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,14,500,,,,,,
31764RC1,Battery Guarantee,PHONES,Apple,iPhone 13 Pro Max,RC1-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2484,,1,14,500,,,,,,
31777RC1,New York,PHONES,Apple,iPhone 13 Pro Max,RC1-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,9,505,,,,,,
31778RC2,New York,PHONES,Apple,iPhone 13 Pro Max,RC2-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2484,,1,1,485,,,,,,
66436,New York,PHONES,Apple,iPhone 13 Pro Max,PLB,512GB,GSM Unlocked,Silver,GSM Unlocked,A2484,,1,1,380,,,,,,
31811RC1,Battery Guarantee,PHONES,Apple,iPhone 13 Pro Max,RC1-Stock,512GB,GSM Unlocked,Silver,GSM Unlocked,A2484,,1,1,515,,,,,,
31789RC1,New York,PHONES,Apple,iPhone 13 Pro Max,RC1-Stock,512GB,GSM Unlocked,Green,GSM Unlocked,A2484,,1,1,515,,,,,,
31795RC1,New York,PHONES,Apple,iPhone 13 Pro Max,RC1-Stock,512GB,GSM Unlocked,Blue,GSM Unlocked,A2484,,1,1,515,,,,,,
33816,New York,PHONES,Apple,iPhone 14,A1-Stock,128GB,T-Mobile,Purple,Locked,A2649,,1,1,300,,,,,,
32603,New York,PHONES,Apple,iPhone 14,A1-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2649,,1,8,365,,,,,,
32604,New York,PHONES,Apple,iPhone 14,A2-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2649,,1,9,355,,,,,,
32552,New York,PHONES,Apple,iPhone 14,B1-Stock,128GB,AT&T,Black,Locked,A2649,,1,2,260,,,,,,
41131UP,New York,PHONES,Apple,iPhone 14,B1-Stock,128GB,Other,Blue,Locked,A2649,Unknown Part Message,1,1,220,,,,,,
32560,New York,PHONES,Apple,iPhone 14,B2-Stock,128GB,AT&T,Blue,Locked,A2649,,1,4,240,,,,,,
32561,New York,PHONES,Apple,iPhone 14,C1-Stock,128GB,AT&T,Blue,Locked,A2649,,1,2,225,,,,,,
32591,New York,PHONES,Apple,iPhone 14,C1-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2649,,1,40,270,,,,,,
33805,New York,PHONES,Apple,iPhone 14,KFCG,128GB,T-Mobile,Black,Locked,A2649,,1,2,215,,,,,,
32609,New York,PHONES,Apple,iPhone 14,KFLB,128GB,GSM Unlocked,Purple,GSM Unlocked,A2649,,1,1,260,,,,,,
32593,New York,PHONES,Apple,iPhone 14,KFLB,128GB,GSM Unlocked,Black,GSM Unlocked,A2649,,1,11,260,,,,,,
32600,New York,PHONES,Apple,iPhone 14,KFLB,128GB,GSM Unlocked,Blue,GSM Unlocked,A2649,,1,1,260,,,,,,
60600BK,New York,PHONES,Apple,iPhone 14,PGL,128GB,T-Mobile,Black,Locked,A2649,,1,2,200,,,,,,
60552BL,New York,PHONES,Apple,iPhone 14,PGL,128GB,GSM Unlocked,Blue,GSM Unlocked,A2649,,1,3,230,,,,,,
60552BK,New York,PHONES,Apple,iPhone 14,PGL,128GB,GSM Unlocked,Black,GSM Unlocked,A2649,,1,8,230,,,,,,
60600P,New York,PHONES,Apple,iPhone 14,PGL,128GB,T-Mobile,Purple,Locked,A2649,,1,2,200,,,,,,
60552P,New York,PHONES,Apple,iPhone 14,PGL,128GB,GSM Unlocked,Purple,GSM Unlocked,A2649,,1,1,230,,,,,,
60550BK,New York,PHONES,Apple,iPhone 14,PGL,128GB,AT&T,Black,Locked,A2649,,1,2,200,,,,,,
38179,New York,PHONES,Apple,iPhone 14,PLCD,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2649,,1,1,185,,,,,,
32606RC2,New York,PHONES,Apple,iPhone 14,RC2-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2649,,1,2,310,,,,,,
32597RC2,New York,PHONES,Apple,iPhone 14,RC2-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2649,,1,42,310,,,,,,
32590RC2,New York,PHONES,Apple,iPhone 14,RC2-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2649,,1,8,310,,,,,,
41148RC2,New York,PHONES,Apple,iPhone 14,RC2-Stock,128GB,Other,Red,Locked,A2649,,1,1,235,,,,,,
32685,New York,PHONES,Apple,iPhone 14,A2-Stock,256GB,GSM Unlocked,Red,GSM Unlocked,A2649,,1,5,385,,,,,,
41167,New York,PHONES,Apple,iPhone 14,A2-Stock,256GB,Other,Blue,Locked,A2649,,1,1,305,,,,,,
41177,New York,PHONES,Apple,iPhone 14,B1-Stock,256GB,Other,Purple,Locked,A2649,,1,1,290,,,,,,
32686,New York,PHONES,Apple,iPhone 14,B1-Stock,256GB,GSM Unlocked,Red,GSM Unlocked,A2649,,1,7,365,,,,,,
32665,New York,PHONES,Apple,iPhone 14,C1-Stock,256GB,GSM Unlocked,Black,GSM Unlocked,A2649,,1,4,305,,,,,,
60555BK,New York,PHONES,Apple,iPhone 14,PGL,256GB,GSM Unlocked,Black,GSM Unlocked,A2649,,1,5,280,,,,,,
32664RC2,New York,PHONES,Apple,iPhone 14,RC2-Stock,256GB,GSM Unlocked,Black,GSM Unlocked,A2649,,1,1,340,,,,,,
32810,New York,PHONES,Apple,iPhone 14 Plus,A2-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,1,380,,,,,,
32811,New York,PHONES,Apple,iPhone 14 Plus,B1-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,38,360,,,,,,
32818,New York,PHONES,Apple,iPhone 14 Plus,B1-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2632,,1,7,360,,,,,,
32841UP,New York,PHONES,Apple,iPhone 14 Plus,B1-Stock,128GB,GSM Unlocked,White,GSM Unlocked,A2632,Unknown Part Message,1,1,325,,,,,,
35514,New York,PHONES,Apple,iPhone 14 Plus,B2-Stock,128GB,GSM Unlocked,Yellow,GSM Unlocked,A2632,,1,28,340,,,,,,
32835,New York,PHONES,Apple,iPhone 14 Plus,B2-Stock,128GB,GSM Unlocked,Red,GSM Unlocked,A2632,,1,100+,340,,,,,,
32828,New York,PHONES,Apple,iPhone 14 Plus,B2-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2632,,1,39,340,,,,,,
32819,New York,PHONES,Apple,iPhone 14 Plus,B2-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2632,,1,90,340,,,,,,
32812,New York,PHONES,Apple,iPhone 14 Plus,B2-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,100+,340,,,,,,
32812UP,New York,PHONES,Apple,iPhone 14 Plus,B2-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,Unknown Part Message,1,1,300,,,,,,
32813,New York,PHONES,Apple,iPhone 14 Plus,C1-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,100+,290,,,,,,
32836,New York,PHONES,Apple,iPhone 14 Plus,C1-Stock,128GB,GSM Unlocked,Red,GSM Unlocked,A2632,,1,17,290,,,,,,
32814,New York,PHONES,Apple,iPhone 14 Plus,KFCG,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,2,280,,,,,,
32830,New York,PHONES,Apple,iPhone 14 Plus,KFCG,128GB,GSM Unlocked,Purple,GSM Unlocked,A2632,,1,2,280,,,,,,
32837,New York,PHONES,Apple,iPhone 14 Plus,KFCG,128GB,GSM Unlocked,Red,GSM Unlocked,A2632,,1,1,280,,,,,,
32814UP,New York,PHONES,Apple,iPhone 14 Plus,KFCG,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,Unknown Part Message,1,1,240,,,,,,
45165,New York,PHONES,Apple,iPhone 14 Plus,KFLB,128GB,GSM Unlocked,Yellow,GSM Unlocked,A2632,,1,1,280,,,,,,
32822,New York,PHONES,Apple,iPhone 14 Plus,KFLB,128GB,GSM Unlocked,Blue,GSM Unlocked,A2632,,1,8,280,,,,,,
32831,New York,PHONES,Apple,iPhone 14 Plus,KFLB,128GB,GSM Unlocked,Purple,GSM Unlocked,A2632,,1,2,280,,,,,,
32838,New York,PHONES,Apple,iPhone 14 Plus,KFLB,128GB,GSM Unlocked,Red,GSM Unlocked,A2632,,1,2,280,,,,,,
32845,New York,PHONES,Apple,iPhone 14 Plus,KFLB,128GB,GSM Unlocked,White,GSM Unlocked,A2632,,1,1,280,,,,,,
32815,New York,PHONES,Apple,iPhone 14 Plus,KFLB,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,7,280,,,,,,
65084,New York,PHONES,Apple,iPhone 14 Plus,PCG,128GB,GSM Unlocked,White,GSM Unlocked,A2632,,1,1,245,,,,,,
65080,New York,PHONES,Apple,iPhone 14 Plus,PCG,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,1,245,,,,,,
60561BK,New York,PHONES,Apple,iPhone 14 Plus,PGL,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,4,255,,,,,,
60561W,New York,PHONES,Apple,iPhone 14 Plus,PGL,128GB,GSM Unlocked,White,GSM Unlocked,A2632,,1,1,255,,,,,,
60561P,New York,PHONES,Apple,iPhone 14 Plus,PGL,128GB,GSM Unlocked,Purple,GSM Unlocked,A2632,,1,5,255,,,,,,
60561WUP,New York,PHONES,Apple,iPhone 14 Plus,PGL,128GB,GSM Unlocked,White,GSM Unlocked,A2632,Unknown Part Message,1,1,215,,,,,,
32824,New York,PHONES,Apple,iPhone 14 Plus,PID,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2632,,1,1,245,,,,,,
65089,New York,PHONES,Apple,iPhone 14 Plus,PLB,128GB,GSM Unlocked,White,GSM Unlocked,A2632,,1,1,245,,,,,,
65088,New York,PHONES,Apple,iPhone 14 Plus,PLB,128GB,GSM Unlocked,Purple,GSM Unlocked,A2632,,1,1,245,,,,,,
65085UP,New York,PHONES,Apple,iPhone 14 Plus,PLB,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,Unknown Part Message,1,1,200,,,,,,
38190,New York,PHONES,Apple,iPhone 14 Plus,PLCD,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2632,,1,2,215,,,,,,
32818RC1,New York,PHONES,Apple,iPhone 14 Plus,RC1-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2632,,1,6,355,,,,,,
32811RC1,New York,PHONES,Apple,iPhone 14 Plus,RC1-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,17,355,,,,,,
32827RC1,New York,PHONES,Apple,iPhone 14 Plus,RC1-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2632,,1,15,355,,,,,,
32834RC1,New York,PHONES,Apple,iPhone 14 Plus,RC1-Stock,128GB,GSM Unlocked,Red,GSM Unlocked,A2632,,1,2,355,,,,,,
32841RC1,New York,PHONES,Apple,iPhone 14 Plus,RC1-Stock,128GB,GSM Unlocked,White,GSM Unlocked,A2632,,1,2,355,,,,,,
35515RC1,New York,PHONES,Apple,iPhone 14 Plus,RC1-Stock,128GB,GSM Unlocked,Yellow,GSM Unlocked,A2632,,1,1,355,,,,,,
35514RC2,New York,PHONES,Apple,iPhone 14 Plus,RC2-Stock,128GB,GSM Unlocked,Yellow,GSM Unlocked,A2632,,1,1,335,,,,,,
32842RC2,New York,PHONES,Apple,iPhone 14 Plus,RC2-Stock,128GB,GSM Unlocked,White,GSM Unlocked,A2632,,1,6,335,,,,,,
32828RC2,New York,PHONES,Apple,iPhone 14 Plus,RC2-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2632,,1,13,335,,,,,,
32812RC2,New York,PHONES,Apple,iPhone 14 Plus,RC2-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,3,335,,,,,,
32819RC2,New York,PHONES,Apple,iPhone 14 Plus,RC2-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2632,,1,19,335,,,,,,
32835RC2,New York,PHONES,Apple,iPhone 14 Plus,RC2-Stock,128GB,GSM Unlocked,Red,GSM Unlocked,A2632,,1,1,335,,,,,,
32887,New York,PHONES,Apple,iPhone 14 Plus,C1-Stock,256GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,5,320,,,,,,
32889,New York,PHONES,Apple,iPhone 14 Plus,KFLB,256GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,1,310,,,,,,
60564BK,New York,PHONES,Apple,iPhone 14 Plus,PGL,256GB,GSM Unlocked,Black,GSM Unlocked,A2632,,1,1,265,,,,,,
39688,New York,PHONES,Apple,iPhone 14 Plus PSIM,B1-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2885,,1,1,400,,,,,,
39720,New York,PHONES,Apple,iPhone 14 Plus PSIM,B2-Stock,128GB,GSM Unlocked,Red,GSM Unlocked,A2886,,1,1,385,,,,,,
39683,New York,PHONES,Apple,iPhone 14 Plus PSIM,B2-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2886,,1,1,385,,,,,,
45924,New York,PHONES,Apple,iPhone 14 Plus PSIM,C1-Stock,128GB,GSM Unlocked,Red,GSM Unlocked,A2886,,1,1,340,,,,,,
45919,New York,PHONES,Apple,iPhone 14 Plus PSIM,B1-Stock,512GB,GSM Unlocked,Black,GSM Unlocked,A2886,,1,1,440,,,,,,
33041,New York,PHONES,Apple,iPhone 14 Pro,A2-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2650,,1,4,485,,,,,,
33025,New York,PHONES,Apple,iPhone 14 Pro,A2-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2650,,1,1,485,,,,,,
41362,New York,PHONES,Apple,iPhone 14 Pro,B1-Stock,128GB,Other,Purple,Locked,A2650,,1,1,380,,,,,,
33042,New York,PHONES,Apple,iPhone 14 Pro,B1-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2650,,1,59,465,,,,,,
32996,New York,PHONES,Apple,iPhone 14 Pro,B1-Stock,128GB,AT&T,Black,Locked,A2650,,1,1,380,,,,,,
33026,New York,PHONES,Apple,iPhone 14 Pro,B1-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2650,,1,20,465,,,,,,
33027,New York,PHONES,Apple,iPhone 14 Pro,B2-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2650,,1,100+,435,,,,,,
33043,New York,PHONES,Apple,iPhone 14 Pro,B2-Stock,128GB,GSM Unlocked,Purple,GSM Unlocked,A2650,,1,100+,435,,,,,,
41363,New York,PHONES,Apple,iPhone 14 Pro,B2-Stock,128GB,Other,Purple,Locked,A2650,,1,1,360,,,,,,
33028,New York,PHONES,Apple,iPhone 14 Pro,C1-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2650,,1,6,390,,,,,,
41364,New York,PHONES,Apple,iPhone 14 Pro,C1-Stock,128GB,Other,Purple,Locked,A2650,,1,1,345,,,,,,
33030,New York,PHONES,Apple,iPhone 14 Pro,KFLB,128GB,GSM Unlocked,Black,GSM Unlocked,A2650,,1,15,380,,,,,,
33046,New York,PHONES,Apple,iPhone 14 Pro,KFLB,128GB,GSM Unlocked,Purple,GSM Unlocked,A2650,,1,4,380,,,,,,
33053,New York,PHONES,Apple,iPhone 14 Pro,KFLB,128GB,GSM Unlocked,Silver,GSM Unlocked,A2650,,1,1,380,,,,,,
